BER,n,k,t,Average Bit Errors
1e-06,7,4,1,32.0
1e-06,15,11,1,30.0
1e-06,15,7,2,36.0
1e-06,15,5,3,30.0
1e-06,31,26,1,52.0
1e-06,31,11,4,30.0
1e-06,63,57,1,64.0
1e-06,63,39,5,62.0
1e-06,127,120,1,64.0
1e-06,127,50,6,54.0
1.6237767391887209e-06,7,4,1,32.0
1.6237767391887209e-06,15,11,1,30.0
1.6237767391887209e-06,15,7,2,36.0
1.6237767391887209e-06,15,5,3,30.0
1.6237767391887209e-06,31,26,1,52.0
1.6237767391887209e-06,31,11,4,30.0
1.6237767391887209e-06,63,57,1,64.0
1.6237767391887209e-06,63,39,5,62.0
1.6237767391887209e-06,127,120,1,64.0
1.6237767391887209e-06,127,50,6,54.0
2.6366508987303555e-06,7,4,1,32.0
2.6366508987303555e-06,15,11,1,30.0
2.6366508987303555e-06,15,7,2,36.0
2.6366508987303555e-06,15,5,3,30.0
2.6366508987303555e-06,31,26,1,52.0
2.6366508987303555e-06,31,11,4,30.0
2.6366508987303555e-06,63,57,1,64.0
2.6366508987303555e-06,63,39,5,62.0
2.6366508987303555e-06,127,120,1,64.0
2.6366508987303555e-06,127,50,6,54.0
4.281332398719396e-06,7,4,1,32.0
4.281332398719396e-06,15,11,1,30.0
4.281332398719396e-06,15,7,2,36.0
4.281332398719396e-06,15,5,3,30.0
4.281332398719396e-06,31,26,1,52.0
4.281332398719396e-06,31,11,4,30.0
4.281332398719396e-06,63,57,1,64.0
4.281332398719396e-06,63,39,5,62.0
4.281332398719396e-06,127,120,1,64.0
4.281332398719396e-06,127,50,6,54.0
6.951927961775606e-06,7,4,1,32.0
6.951927961775606e-06,15,11,1,30.0
6.951927961775606e-06,15,7,2,36.0
6.951927961775606e-06,15,5,3,30.0
6.951927961775606e-06,31,26,1,52.0
6.951927961775606e-06,31,11,4,30.0
6.951927961775606e-06,63,57,1,64.0
6.951927961775606e-06,63,39,5,62.0
6.951927961775606e-06,127,120,1,64.0
6.951927961775606e-06,127,50,6,54.0
1.1288378916846883e-05,7,4,1,32.0
1.1288378916846883e-05,15,11,1,30.0
1.1288378916846883e-05,15,7,2,36.0
1.1288378916846883e-05,15,5,3,30.0
1.1288378916846883e-05,31,26,1,52.0
1.1288378916846883e-05,31,11,4,30.0
1.1288378916846883e-05,63,57,1,64.0
