BER,n,k,t,Bit Errors
1e-06,7,4,1,2
1e-06,15,11,1,2
1e-06,15,7,2,2
1e-06,15,5,3,2
1e-06,31,26,1,2
1e-06,31,11,4,2
1e-06,63,57,1,2
1e-06,63,39,5,2
1e-06,127,120,1,2
1e-06,127,50,6,2
1.6237767391887209e-06,7,4,1,2
1.6237767391887209e-06,15,11,1,2
1.6237767391887209e-06,15,7,2,2
1.6237767391887209e-06,15,5,3,2
1.6237767391887209e-06,31,26,1,2
1.6237767391887209e-06,31,11,4,2
1.6237767391887209e-06,63,57,1,2
1.6237767391887209e-06,63,39,5,2
1.6237767391887209e-06,127,120,1,2
1.6237767391887209e-06,127,50,6,2
2.6366508987303555e-06,7,4,1,2
2.6366508987303555e-06,15,11,1,2
2.6366508987303555e-06,15,7,2,2
2.6366508987303555e-06,15,5,3,2
2.6366508987303555e-06,31,26,1,2
2.6366508987303555e-06,31,11,4,2
2.6366508987303555e-06,63,57,1,2
2.6366508987303555e-06,63,39,5,2
2.6366508987303555e-06,127,120,1,2
2.6366508987303555e-06,127,50,6,2
4.281332398719396e-06,7,4,1,2
4.281332398719396e-06,15,11,1,2
4.281332398719396e-06,15,7,2,2
4.281332398719396e-06,15,5,3,2
4.281332398719396e-06,31,26,1,2
4.281332398719396e-06,31,11,4,2
4.281332398719396e-06,63,57,1,2
4.281332398719396e-06,63,39,5,2
4.281332398719396e-06,127,120,1,2
4.281332398719396e-06,127,50,6,2
6.951927961775606e-06,7,4,1,2
6.951927961775606e-06,15,11,1,2
6.951927961775606e-06,15,7,2,2
6.951927961775606e-06,15,5,3,2
6.951927961775606e-06,31,26,1,2
6.951927961775606e-06,31,11,4,2
6.951927961775606e-06,63,57,1,2
6.951927961775606e-06,63,39,5,2
6.951927961775606e-06,127,120,1,2
6.951927961775606e-06,127,50,6,2
1.1288378916846883e-05,7,4,1,2
1.1288378916846883e-05,15,11,1,2
1.1288378916846883e-05,15,7,2,2
1.1288378916846883e-05,15,5,3,2
1.1288378916846883e-05,31,26,1,2
1.1288378916846883e-05,31,11,4,2
1.1288378916846883e-05,63,57,1,2
1.1288378916846883e-05,63,39,5,2
1.1288378916846883e-05,127,120,1,2
1.1288378916846883e-05,127,50,6,2
1.8329807108324375e-05,7,4,1,2
1.8329807108324375e-05,15,11,1,2
1.8329807108324375e-05,15,7,2,2
1.8329807108324375e-05,15,5,3,2
1.8329807108324375e-05,31,26,1,2
1.8329807108324375e-05,31,11,4,2
1.8329807108324375e-05,63,57,1,2
1.8329807108324375e-05,63,39,5,2
1.8329807108324375e-05,127,120,1,2
1.8329807108324375e-05,127,50,6,2
2.9763514416313192e-05,7,4,1,2
2.9763514416313192e-05,15,11,1,2
2.9763514416313192e-05,15,7,2,2
2.9763514416313192e-05,15,5,3,2
2.9763514416313192e-05,31,26,1,2
2.9763514416313192e-05,31,11,4,2
2.9763514416313192e-05,63,57,1,2
2.9763514416313192e-05,63,39,5,2
2.9763514416313192e-05,127,120,1,2
2.9763514416313192e-05,127,50,6,2
4.8329302385717524e-05,7,4,1,2
4.8329302385717524e-05,15,11,1,2
4.8329302385717524e-05,15,7,2,2
4.8329302385717524e-05,15,5,3,2
4.8329302385717524e-05,31,26,1,2
4.8329302385717524e-05,31,11,4,2
4.8329302385717524e-05,63,57,1,2
4.8329302385717524e-05,63,39,5,2
4.8329302385717524e-05,127,120,1,2
4.8329302385717524e-05,127,50,6,2
7.847599703514606e-05,7,4,1,2
7.847599703514606e-05,15,11,1,2
7.847599703514606e-05,15,7,2,2
7.847599703514606e-05,15,5,3,2
7.847599703514606e-05,31,26,1,2
7.847599703514606e-05,31,11,4,2
7.847599703514606e-05,63,57,1,2
7.847599703514606e-05,63,39,5,2
7.847599703514606e-05,127,120,1,2
7.847599703514606e-05,127,50,6,2
0.00012742749857031334,7,4,1,2
0.00012742749857031334,15,11,1,2
0.00012742749857031334,15,7,2,2
0.00012742749857031334,15,5,3,2
0.00012742749857031334,31,26,1,2
