BER,n,k,t,Bit Errors
1e-06,7,4,1,82
1e-06,15,11,1,90
1e-06,15,7,2,82
1e-06,15,5,3,76
1e-06,31,26,1,42
1e-06,31,11,4,90
1e-06,63,57,1,20
1e-06,63,39,5,20
1e-06,127,120,1,0
1e-06,127,50,6,92
1.6237767391887209e-06,7,4,1,82
1.6237767391887209e-06,15,11,1,90
1.6237767391887209e-06,15,7,2,82
1.6237767391887209e-06,15,5,3,76
1.6237767391887209e-06,31,26,1,42
1.6237767391887209e-06,31,11,4,90
1.6237767391887209e-06,63,57,1,20
1.6237767391887209e-06,63,39,5,20
1.6237767391887209e-06,127,120,1,0
1.6237767391887209e-06,127,50,6,92
2.6366508987303555e-06,7,4,1,82
2.6366508987303555e-06,15,11,1,90
2.6366508987303555e-06,15,7,2,82
2.6366508987303555e-06,15,5,3,76
2.6366508987303555e-06,31,26,1,42
2.6366508987303555e-06,31,11,4,90
2.6366508987303555e-06,63,57,1,20
2.6366508987303555e-06,63,39,5,20
2.6366508987303555e-06,127,120,1,0
2.6366508987303555e-06,127,50,6,92
4.281332398719396e-06,7,4,1,82
4.281332398719396e-06,15,11,1,90
4.281332398719396e-06,15,7,2,82
4.281332398719396e-06,15,5,3,76
4.281332398719396e-06,31,26,1,42
4.281332398719396e-06,31,11,4,90
4.281332398719396e-06,63,57,1,20
4.281332398719396e-06,63,39,5,20
4.281332398719396e-06,127,120,1,0
4.281332398719396e-06,127,50,6,92
6.951927961775606e-06,7,4,1,82
6.951927961775606e-06,15,11,1,90
6.951927961775606e-06,15,7,2,82
6.951927961775606e-06,15,5,3,76
6.951927961775606e-06,31,26,1,42
6.951927961775606e-06,31,11,4,90
6.951927961775606e-06,63,57,1,20
6.951927961775606e-06,63,39,5,20
6.951927961775606e-06,127,120,1,0
6.951927961775606e-06,127,50,6,92
1.1288378916846883e-05,7,4,1,82
1.1288378916846883e-05,15,11,1,90
1.1288378916846883e-05,15,7,2,82
1.1288378916846883e-05,15,5,3,76
1.1288378916846883e-05,31,26,1,42
1.1288378916846883e-05,31,11,4,90
1.1288378916846883e-05,63,57,1,20
1.1288378916846883e-05,63,39,5,20
1.1288378916846883e-05,127,120,1,0
1.1288378916846883e-05,127,50,6,92
1.8329807108324375e-05,7,4,1,82
1.8329807108324375e-05,15,11,1,90
1.8329807108324375e-05,15,7,2,82
1.8329807108324375e-05,15,5,3,76
1.8329807108324375e-05,31,26,1,42
1.8329807108324375e-05,31,11,4,90
1.8329807108324375e-05,63,57,1,20
1.8329807108324375e-05,63,39,5,20
1.8329807108324375e-05,127,120,1,0
1.8329807108324375e-05,127,50,6,92
2.9763514416313192e-05,7,4,1,82
2.9763514416313192e-05,15,11,1,90
2.9763514416313192e-05,15,7,2,82
2.9763514416313192e-05,15,5,3,76
2.9763514416313192e-05,31,26,1,42
2.9763514416313192e-05,31,11,4,90
