BER,n,k,t,Bit Errors
1e-06,7,4,1,256
1e-06,15,11,1,254
1e-06,15,7,2,262
1e-06,15,5,3,277
1e-06,31,26,1,371
1e-06,31,11,4,249
1e-06,63,57,1,288
1e-06,63,39,5,291
1e-06,127,120,1,352
1e-06,127,50,6,223
1.6237767391887209e-06,7,4,1,253
1.6237767391887209e-06,15,11,1,274
1.6237767391887209e-06,15,7,2,269
1.6237767391887209e-06,15,5,3,281
1.6237767391887209e-06,31,26,1,372
1.6237767391887209e-06,31,11,4,248
1.6237767391887209e-06,63,57,1,327
1.6237767391887209e-06,63,39,5,302
1.6237767391887209e-06,127,120,1,353
1.6237767391887209e-06,127,50,6,216
2.6366508987303555e-06,7,4,1,255
2.6366508987303555e-06,15,11,1,254
2.6366508987303555e-06,15,7,2,267
2.6366508987303555e-06,15,5,3,274
2.6366508987303555e-06,31,26,1,367
2.6366508987303555e-06,31,11,4,248
2.6366508987303555e-06,63,57,1,266
2.6366508987303555e-06,63,39,5,312
2.6366508987303555e-06,127,120,1,345
2.6366508987303555e-06,127,50,6,216
4.281332398719396e-06,7,4,1,254
4.281332398719396e-06,15,11,1,264
4.281332398719396e-06,15,7,2,266
4.281332398719396e-06,15,5,3,274
4.281332398719396e-06,31,26,1,368
4.281332398719396e-06,31,11,4,246
4.281332398719396e-06,63,57,1,283
4.281332398719396e-06,63,39,5,302
4.281332398719396e-06,127,120,1,353
4.281332398719396e-06,127,50,6,242
6.951927961775606e-06,7,4,1,248
6.951927961775606e-06,15,11,1,263
6.951927961775606e-06,15,7,2,272
6.951927961775606e-06,15,5,3,273
6.951927961775606e-06,31,26,1,363
6.951927961775606e-06,31,11,4,246
6.951927961775606e-06,63,57,1,280
6.951927961775606e-06,63,39,5,312
6.951927961775606e-06,127,120,1,343
6.951927961775606e-06,127,50,6,221
1.1288378916846883e-05,7,4,1,251
1.1288378916846883e-05,15,11,1,269
1.1288378916846883e-05,15,7,2,277
1.1288378916846883e-05,15,5,3,273
1.1288378916846883e-05,31,26,1,355
1.1288378916846883e-05,31,11,4,249
1.1288378916846883e-05,63,57,1,284
1.1288378916846883e-05,63,39,5,339
1.1288378916846883e-05,127,120,1,339
1.1288378916846883e-05,127,50,6,219
1.8329807108324375e-05,7,4,1,257
1.8329807108324375e-05,15,11,1,273
1.8329807108324375e-05,15,7,2,259
1.8329807108324375e-05,15,5,3,274
1.8329807108324375e-05,31,26,1,363
1.8329807108324375e-05,31,11,4,246
1.8329807108324375e-05,63,57,1,289
1.8329807108324375e-05,63,39,5,292
1.8329807108324375e-05,127,120,1,350
1.8329807108324375e-05,127,50,6,216
2.9763514416313192e-05,7,4,1,252
2.9763514416313192e-05,15,11,1,271
2.9763514416313192e-05,15,7,2,269
2.9763514416313192e-05,15,5,3,273
