BER,n,k,t,Bit Errors
1e-06,7,4,1,82
1e-06,15,11,1,95
1e-06,15,7,2,85
1e-06,15,5,3,75
1e-06,31,26,1,48
1e-06,31,11,4,92
1e-06,63,57,1,33
1e-06,63,39,5,27
1e-06,127,120,1,28
1e-06,127,50,6,92
1.6237767391887209e-06,7,4,1,83
1.6237767391887209e-06,15,11,1,99
1.6237767391887209e-06,15,7,2,84
1.6237767391887209e-06,15,5,3,76
1.6237767391887209e-06,31,26,1,46
1.6237767391887209e-06,31,11,4,91
1.6237767391887209e-06,63,57,1,36
1.6237767391887209e-06,63,39,5,30
1.6237767391887209e-06,127,120,1,27
1.6237767391887209e-06,127,50,6,92
2.6366508987303555e-06,7,4,1,85
2.6366508987303555e-06,15,11,1,90
2.6366508987303555e-06,15,7,2,88
2.6366508987303555e-06,15,5,3,76
2.6366508987303555e-06,31,26,1,45
2.6366508987303555e-06,31,11,4,91
2.6366508987303555e-06,63,57,1,28
2.6366508987303555e-06,63,39,5,30
2.6366508987303555e-06,127,120,1,11
2.6366508987303555e-06,127,50,6,92
4.281332398719396e-06,7,4,1,82
4.281332398719396e-06,15,11,1,91
4.281332398719396e-06,15,7,2,81
4.281332398719396e-06,15,5,3,75
4.281332398719396e-06,31,26,1,57
4.281332398719396e-06,31,11,4,90
4.281332398719396e-06,63,57,1,28
4.281332398719396e-06,63,39,5,24
4.281332398719396e-06,127,120,1,24
4.281332398719396e-06,127,50,6,116
6.951927961775606e-06,7,4,1,83
6.951927961775606e-06,15,11,1,89
6.951927961775606e-06,15,7,2,85
6.951927961775606e-06,15,5,3,77
6.951927961775606e-06,31,26,1,56
6.951927961775606e-06,31,11,4,90
6.951927961775606e-06,63,57,1,44
6.951927961775606e-06,63,39,5,19
6.951927961775606e-06,127,120,1,15
6.951927961775606e-06,127,50,6,92
1.1288378916846883e-05,7,4,1,80
1.1288378916846883e-05,15,11,1,94
1.1288378916846883e-05,15,7,2,82
1.1288378916846883e-05,15,5,3,76
1.1288378916846883e-05,31,26,1,49
1.1288378916846883e-05,31,11,4,94
1.1288378916846883e-05,63,57,1,39
1.1288378916846883e-05,63,39,5,20
1.1288378916846883e-05,127,120,1,24
1.1288378916846883e-05,127,50,6,92
1.8329807108324375e-05,7,4,1,82
1.8329807108324375e-05,15,11,1,90
1.8329807108324375e-05,15,7,2,82
1.8329807108324375e-05,15,5,3,76
1.8329807108324375e-05,31,26,1,70
1.8329807108324375e-05,31,11,4,90
1.8329807108324375e-05,63,57,1,31
1.8329807108324375e-05,63,39,5,20
1.8329807108324375e-05,127,120,1,24
1.8329807108324375e-05,127,50,6,92
2.9763514416313192e-05,7,4,1,81
2.9763514416313192e-05,15,11,1,98
2.9763514416313192e-05,15,7,2,82
2.9763514416313192e-05,15,5,3,76
2.9763514416313192e-05,31,26,1,55
2.9763514416313192e-05,31,11,4,90
2.9763514416313192e-05,63,57,1,31
2.9763514416313192e-05,63,39,5,20
2.9763514416313192e-05,127,120,1,25
2.9763514416313192e-05,127,50,6,92
4.8329302385717524e-05,7,4,1,83
4.8329302385717524e-05,15,11,1,91
4.8329302385717524e-05,15,7,2,81
4.8329302385717524e-05,15,5,3,76
4.8329302385717524e-05,31,26,1,62
4.8329302385717524e-05,31,11,4,91
4.8329302385717524e-05,63,57,1,29
4.8329302385717524e-05,63,39,5,38
