BER,n,k,Average Bit Errors
1e-06,15,7,0.0
1e-06,31,16,0.0
1e-06,63,32,0.0
1e-06,127,64,0.001
1.6237767391887209e-06,15,7,0.0
1.6237767391887209e-06,31,16,0.0
1.6237767391887209e-06,63,32,0.0
1.6237767391887209e-06,127,64,0.0
2.6366508987303555e-06,15,7,0.0
2.6366508987303555e-06,31,16,0.0
2.6366508987303555e-06,63,32,0.0
2.6366508987303555e-06,127,64,0.0
4.281332398719396e-06,15,7,0.0
4.281332398719396e-06,31,16,0.0
4.281332398719396e-06,63,32,0.001
4.281332398719396e-06,127,64,0.0
6.951927961775606e-06,15,7,0.003
6.951927961775606e-06,31,16,0.001
6.951927961775606e-06,63,32,0.001
6.951927961775606e-06,127,64,0.0
1.1288378916846883e-05,15,7,0.001
1.1288378916846883e-05,31,16,0.002
1.1288378916846883e-05,63,32,0.001
1.1288378916846883e-05,127,64,0.003
1.8329807108324375e-05,15,7,0.002
1.8329807108324375e-05,31,16,0.002
1.8329807108324375e-05,63,32,0.0
1.8329807108324375e-05,127,64,0.0
2.9763514416313192e-05,15,7,0.002
2.9763514416313192e-05,31,16,0.002
2.9763514416313192e-05,63,32,0.005
2.9763514416313192e-05,127,64,0.001
4.8329302385717524e-05,15,7,0.006
4.8329302385717524e-05,31,16,0.003
4.8329302385717524e-05,63,32,0.008
4.8329302385717524e-05,127,64,0.007
7.847599703514606e-05,15,7,0.012
7.847599703514606e-05,31,16,0.012
7.847599703514606e-05,63,32,0.007
7.847599703514606e-05,127,64,0.008
0.00012742749857031334,15,7,0.02
0.00012742749857031334,31,16,0.013
0.00012742749857031334,63,32,0.019
0.00012742749857031334,127,64,0.012
0.00020691380811147902,15,7,0.018
0.00020691380811147902,31,16,0.032
0.00020691380811147902,63,32,0.026
0.00020691380811147902,127,64,0.03
0.0003359818286283781,15,7,0.037
0.0003359818286283781,31,16,0.047
0.0003359818286283781,63,32,0.034
0.0003359818286283781,127,64,0.029
0.0005455594781168515,15,7,0.072
0.0005455594781168515,31,16,0.056
0.0005455594781168515,63,32,0.045
0.0005455594781168515,127,64,0.069
0.0008858667904100823,15,7,0.108
0.0008858667904100823,31,16,0.098
0.0008858667904100823,63,32,0.09
0.0008858667904100823,127,64,0.107
0.0014384498882876629,15,7,0.165
0.0014384498882876629,31,16,0.183
0.0014384498882876629,63,32,0.204
0.0014384498882876629,127,64,0.184
0.002335721469090121,15,7,0.278
0.002335721469090121,31,16,0.308
0.002335721469090121,63,32,0.305
0.002335721469090121,127,64,0.288
0.003792690190732246,15,7,0.471
0.003792690190732246,31,16,0.446
0.003792690190732246,63,32,0.475
0.003792690190732246,127,64,0.471
0.00615848211066026,15,7,0.791
0.00615848211066026,31,16,0.82
0.00615848211066026,63,32,0.785
0.00615848211066026,127,64,0.793
0.01,15,7,1.336
0.01,31,16,1.306
0.01,63,32,1.293
0.01,127,64,1.273
