BER,n,k,Bit Errors
1e-06,15,7,18
1e-06,31,16,21
1e-06,63,32,33
1e-06,127,64,25
1.6237767391887209e-06,15,7,25
1.6237767391887209e-06,31,16,21
1.6237767391887209e-06,63,32,28
1.6237767391887209e-06,127,64,41
2.6366508987303555e-06,15,7,19
2.6366508987303555e-06,31,16,17
2.6366508987303555e-06,63,32,17
2.6366508987303555e-06,127,64,36
4.281332398719396e-06,15,7,15
4.281332398719396e-06,31,16,23
4.281332398719396e-06,63,32,26
4.281332398719396e-06,127,64,28
6.951927961775606e-06,15,7,21
6.951927961775606e-06,31,16,22
6.951927961775606e-06,63,32,30
6.951927961775606e-06,127,64,24
1.1288378916846883e-05,15,7,13
1.1288378916846883e-05,31,16,21
1.1288378916846883e-05,63,32,13
1.1288378916846883e-05,127,64,23
1.8329807108324375e-05,15,7,13
1.8329807108324375e-05,31,16,26
1.8329807108324375e-05,63,32,21
1.8329807108324375e-05,127,64,37
2.9763514416313192e-05,15,7,12
2.9763514416313192e-05,31,16,26
2.9763514416313192e-05,63,32,24
2.9763514416313192e-05,127,64,22
4.8329302385717524e-05,15,7,16
4.8329302385717524e-05,31,16,20
4.8329302385717524e-05,63,32,19
4.8329302385717524e-05,127,64,14
7.847599703514606e-05,15,7,19
7.847599703514606e-05,31,16,21
7.847599703514606e-05,63,32,24
7.847599703514606e-05,127,64,22
0.00012742749857031334,15,7,21
0.00012742749857031334,31,16,17
0.00012742749857031334,63,32,24
0.00012742749857031334,127,64,22
0.00020691380811147902,15,7,18
0.00020691380811147902,31,16,27
0.00020691380811147902,63,32,31
0.00020691380811147902,127,64,27
0.0003359818286283781,15,7,18
0.0003359818286283781,31,16,10
0.0003359818286283781,63,32,31
0.0003359818286283781,127,64,18
0.0005455594781168515,15,7,18
0.0005455594781168515,31,16,20
0.0005455594781168515,63,32,25
0.0005455594781168515,127,64,24
0.0008858667904100823,15,7,18
0.0008858667904100823,31,16,22
0.0008858667904100823,63,32,27
0.0008858667904100823,127,64,31
0.0014384498882876629,15,7,10
0.0014384498882876629,31,16,19
0.0014384498882876629,63,32,26
0.0014384498882876629,127,64,26
0.002335721469090121,15,7,18
0.002335721469090121,31,16,18
0.002335721469090121,63,32,28
0.002335721469090121,127,64,26
0.003792690190732246,15,7,18
0.003792690190732246,31,16,21
0.003792690190732246,63,32,22
0.003792690190732246,127,64,22
0.00615848211066026,15,7,18
0.00615848211066026,31,16,23
0.00615848211066026,63,32,20
0.00615848211066026,127,64,25
0.01,15,7,16
0.01,31,16,25
0.01,63,32,26
0.01,127,64,29
