BER,n,k,Average Bit Errors
1e-06,15,7,3.238
1e-06,31,16,6.406
1e-06,63,32,7.848
1e-06,127,64,10.167
1.6237767391887209e-06,15,7,3.35
1.6237767391887209e-06,31,16,6.414
1.6237767391887209e-06,63,32,8.566
1.6237767391887209e-06,127,64,9.545
2.6366508987303555e-06,15,7,3.333
2.6366508987303555e-06,31,16,6.227
2.6366508987303555e-06,63,32,7.916
2.6366508987303555e-06,127,64,10.356
4.281332398719396e-06,15,7,3.411
4.281332398719396e-06,31,16,6.217
4.281332398719396e-06,63,32,8.77
4.281332398719396e-06,127,64,9.559
6.951927961775606e-06,15,7,3.399
6.951927961775606e-06,31,16,6.003
6.951927961775606e-06,63,32,8.821
6.951927961775606e-06,127,64,9.965
1.1288378916846883e-05,15,7,3.267
1.1288378916846883e-05,31,16,6.254
1.1288378916846883e-05,63,32,8.68
1.1288378916846883e-05,127,64,9.123
1.8329807108324375e-05,15,7,3.153
1.8329807108324375e-05,31,16,6.348
1.8329807108324375e-05,63,32,8.962
1.8329807108324375e-05,127,64,10.643
2.9763514416313192e-05,15,7,3.206
2.9763514416313192e-05,31,16,6.366
2.9763514416313192e-05,63,32,8.836
2.9763514416313192e-05,127,64,10.618
4.8329302385717524e-05,15,7,3.324
4.8329302385717524e-05,31,16,5.819
4.8329302385717524e-05,63,32,8.696
4.8329302385717524e-05,127,64,10.283
7.847599703514606e-05,15,7,3.123
7.847599703514606e-05,31,16,6.097
7.847599703514606e-05,63,32,8.813
7.847599703514606e-05,127,64,10.164
0.00012742749857031334,15,7,3.187
0.00012742749857031334,31,16,5.992
0.00012742749857031334,63,32,8.286
0.00012742749857031334,127,64,10.228
0.00020691380811147902,15,7,3.236
0.00020691380811147902,31,16,6.074
0.00020691380811147902,63,32,8.423
0.00020691380811147902,127,64,10.189
0.0003359818286283781,15,7,3.267
0.0003359818286283781,31,16,5.992
0.0003359818286283781,63,32,8.552
0.0003359818286283781,127,64,10.62
0.0005455594781168515,15,7,3.376
0.0005455594781168515,31,16,6.101
0.0005455594781168515,63,32,7.946
0.0005455594781168515,127,64,10.187
0.0008858667904100823,15,7,3.355
0.0008858667904100823,31,16,6.428
0.0008858667904100823,63,32,7.875
0.0008858667904100823,127,64,10.182
0.0014384498882876629,15,7,3.222
0.0014384498882876629,31,16,6.653
0.0014384498882876629,63,32,8.798
0.0014384498882876629,127,64,10.35
0.002335721469090121,15,7,3.091
0.002335721469090121,31,16,6.011
0.002335721469090121,63,32,8.571
0.002335721469090121,127,64,10.347
0.003792690190732246,15,7,3.341
0.003792690190732246,31,16,6.602
0.003792690190732246,63,32,8.555
0.003792690190732246,127,64,10.313
0.00615848211066026,15,7,3.293
0.00615848211066026,31,16,6.135
0.00615848211066026,63,32,8.813
0.00615848211066026,127,64,10.11
0.01,15,7,3.396
0.01,31,16,6.234
0.01,63,32,9.011
0.01,127,64,10.376
