BER,n,k,Average Bit Errors
1e-06,15,7,0.0
1e-06,31,16,0.0
1e-06,63,32,0.0
1e-06,127,64,0.0
1.6237767391887209e-06,15,7,0.0
1.6237767391887209e-06,31,16,0.0
1.6237767391887209e-06,63,32,0.0
1.6237767391887209e-06,127,64,0.0
2.6366508987303555e-06,15,7,0.0
2.6366508987303555e-06,31,16,0.0
2.6366508987303555e-06,63,32,0.001
2.6366508987303555e-06,127,64,0.001
4.281332398719396e-06,15,7,0.0
4.281332398719396e-06,31,16,0.0
4.281332398719396e-06,63,32,0.001
4.281332398719396e-06,127,64,0.0
6.951927961775606e-06,15,7,0.001
6.951927961775606e-06,31,16,0.0
6.951927961775606e-06,63,32,0.003
6.951927961775606e-06,127,64,0.0
1.1288378916846883e-05,15,7,0.001
1.1288378916846883e-05,31,16,0.0
1.1288378916846883e-05,63,32,0.0
1.1288378916846883e-05,127,64,0.001
1.8329807108324375e-05,15,7,0.001
1.8329807108324375e-05,31,16,0.002
1.8329807108324375e-05,63,32,0.0
1.8329807108324375e-05,127,64,0.001
2.9763514416313192e-05,15,7,0.007
2.9763514416313192e-05,31,16,0.003
2.9763514416313192e-05,63,32,0.004
2.9763514416313192e-05,127,64,0.005
4.8329302385717524e-05,15,7,0.001
4.8329302385717524e-05,31,16,0.011
4.8329302385717524e-05,63,32,0.01
4.8329302385717524e-05,127,64,0.005
7.847599703514606e-05,15,7,0.008
7.847599703514606e-05,31,16,0.007
7.847599703514606e-05,63,32,0.014
7.847599703514606e-05,127,64,0.011
0.00012742749857031334,15,7,0.016
0.00012742749857031334,31,16,0.011
0.00012742749857031334,63,32,0.016
0.00012742749857031334,127,64,0.018
0.00020691380811147902,15,7,0.033
0.00020691380811147902,31,16,0.036
0.00020691380811147902,63,32,0.033
0.00020691380811147902,127,64,0.028
0.0003359818286283781,15,7,0.037
0.0003359818286283781,31,16,0.047
0.0003359818286283781,63,32,0.045
0.0003359818286283781,127,64,0.041
0.0005455594781168515,15,7,0.062
0.0005455594781168515,31,16,0.088
0.0005455594781168515,63,32,0.065
0.0005455594781168515,127,64,0.065
0.0008858667904100823,15,7,0.111
0.0008858667904100823,31,16,0.102
0.0008858667904100823,63,32,0.131
0.0008858667904100823,127,64,0.108
0.0014384498882876629,15,7,0.164
0.0014384498882876629,31,16,0.174
0.0014384498882876629,63,32,0.192
0.0014384498882876629,127,64,0.191
0.002335721469090121,15,7,0.279
0.002335721469090121,31,16,0.328
0.002335721469090121,63,32,0.262
0.002335721469090121,127,64,0.293
0.003792690190732246,15,7,0.491
0.003792690190732246,31,16,0.562
0.003792690190732246,63,32,0.54
0.003792690190732246,127,64,0.505
0.00615848211066026,15,7,0.783
0.00615848211066026,31,16,0.766
0.00615848211066026,63,32,0.779
0.00615848211066026,127,64,0.752
0.01,15,7,1.289
0.01,31,16,1.298
0.01,63,32,1.24
0.01,127,64,1.301
