BER,n,k,Average Bit Errors
1e-06,15,7,3.294
1e-06,31,16,6.003
1e-06,63,32,8.415
1e-06,127,64,10.073
1.6237767391887209e-06,15,7,3.474
1.6237767391887209e-06,31,16,6.247
1.6237767391887209e-06,63,32,8.246
1.6237767391887209e-06,127,64,10.707
2.6366508987303555e-06,15,7,3.212
2.6366508987303555e-06,31,16,6.06
2.6366508987303555e-06,63,32,8.659
2.6366508987303555e-06,127,64,10.166
4.281332398719396e-06,15,7,3.136
4.281332398719396e-06,31,16,5.825
4.281332398719396e-06,63,32,8.515
4.281332398719396e-06,127,64,9.975
6.951927961775606e-06,15,7,3.391
6.951927961775606e-06,31,16,6.041
6.951927961775606e-06,63,32,9.057
6.951927961775606e-06,127,64,10.789
1.1288378916846883e-05,15,7,3.341
1.1288378916846883e-05,31,16,6.055
1.1288378916846883e-05,63,32,8.903
1.1288378916846883e-05,127,64,10.17
1.8329807108324375e-05,15,7,3.459
1.8329807108324375e-05,31,16,6.298
1.8329807108324375e-05,63,32,8.313
1.8329807108324375e-05,127,64,9.809
2.9763514416313192e-05,15,7,3.526
2.9763514416313192e-05,31,16,6.084
2.9763514416313192e-05,63,32,8.254
2.9763514416313192e-05,127,64,10.271
4.8329302385717524e-05,15,7,3.213
4.8329302385717524e-05,31,16,6.196
4.8329302385717524e-05,63,32,8.926
4.8329302385717524e-05,127,64,10.076
7.847599703514606e-05,15,7,3.38
7.847599703514606e-05,31,16,6.076
7.847599703514606e-05,63,32,8.354
7.847599703514606e-05,127,64,10.783
0.00012742749857031334,15,7,3.352
0.00012742749857031334,31,16,6.146
0.00012742749857031334,63,32,8.743
0.00012742749857031334,127,64,10.447
0.00020691380811147902,15,7,3.269
0.00020691380811147902,31,16,6.344
0.00020691380811147902,63,32,9.017
0.00020691380811147902,127,64,9.797
0.0003359818286283781,15,7,3.399
0.0003359818286283781,31,16,5.954
0.0003359818286283781,63,32,8.64
0.0003359818286283781,127,64,10.113
0.0005455594781168515,15,7,3.415
0.0005455594781168515,31,16,6.281
0.0005455594781168515,63,32,8.598
0.0005455594781168515,127,64,9.994
0.0008858667904100823,15,7,3.301
0.0008858667904100823,31,16,5.931
0.0008858667904100823,63,32,8.647
0.0008858667904100823,127,64,9.82
0.0014384498882876629,15,7,3.242
0.0014384498882876629,31,16,6.125
0.0014384498882876629,63,32,8.322
0.0014384498882876629,127,64,9.719
0.002335721469090121,15,7,3.138
0.002335721469090121,31,16,5.85
0.002335721469090121,63,32,8.242
0.002335721469090121,127,64,10.284
0.003792690190732246,15,7,3.429
0.003792690190732246,31,16,6.291
0.003792690190732246,63,32,8.245
0.003792690190732246,127,64,10.331
0.00615848211066026,15,7,3.369
0.00615848211066026,31,16,6.131
0.00615848211066026,63,32,8.657
0.00615848211066026,127,64,10.04
0.01,15,7,3.321
0.01,31,16,6.092
0.01,63,32,8.599
0.01,127,64,9.922
